Tanggal,Username,Komentar,Polarity
2023-03-13T21:52:29Z,sulthon efendi efendi,"Ada yg bilang ...... Para pejabat negara , ASN dan semua petugas negara mana mau bertugas di hutan jin buang anak ...... (?) Ini kata mereka . Jawabannya mudah , yg tidak mau di kan bisa mundur , jutaan masyarakat ngantri menjadi PNS , ASN dan yg lain bisa gantikan ....... Ngak taat peraturan kan bisa di pecat / mundur .  Pembangunan / pindah ibukota itu sudah di bicarakan dari jaman Suekarno hingga sekarang ..... Hanya presiden Jokowi yg berani eksekusi ..... Masak gitu aja kok kagetan , kadron sih saya ngak pernah heran ..... Apa sih mereka yg cocok sama semua kebijakan pemerintah , selain curiga , sok dan bikin fitnah ngalor-ngidul ngak ada capeknya .",Negatif
2023-03-11T02:51:14Z,indra,"Perlu di ingat yaa gesss yaa yang ngomongin utang negara mulu, pembangunan ikn gak 100% dr utang tapi ada juga dari apbn dan investasi. Hutang pun di bagi lagi jadi hutang dalam negri(ke rakyat) dan hutang luar negri. Kalau mau negara kita gak banyak ngutang keluar negri minimal taat bayar pajak &amp",Netral
2023-03-10T15:15:35Z,MuStudio Official,Bismilah semoga lancar IKN di kalimantan🙏,Positif
2023-03-10T11:52:04Z,Abu Kasim,"Pak menteri tolong sediakan lahan khusus buat pedagang kaki lima untuk membangun kios sembako, soalnya saya mau kesna dagang sembako...tolongya pak menteri...plis🙏🙏😁😁😁, oh iya klo sda ada tolong saya diberi tahu klo bisa orang pertama😁😆😆",Netral
2023-03-10T04:58:34Z,Jo Makibo,Hutan2 LG digundulin dong,Negatif
2023-03-09T15:19:41Z,Yhuda Joel,Semoga lancar untuk pekerja kontruksi tetap hati-hati smga berkah.,Positif
2023-03-09T12:11:39Z,Himatur Rodhiyah,Semangat selalu,Positif
2023-03-09T10:09:57Z,Barry Jebrael,"Pakai semua sumberdaya yang ada buat bangun IKN pakdhe... Gelontorkan APBN , cari pinjaman ke china dan timur tengah. Gak usah malu-malu.. Buat narik investor, kasih mereka karpet merah bebas pajak, klo perlu jadikan IKN itu tax haven... Pokoknya prioritas utama sebelum lengser itu IKN.. Jadikanlah IKN Nusantara legacy pakdhe yang bakal terus diingat masyarakat.",Negatif
2023-03-08T16:57:50Z,Alfatih Chanel,Semua jajaran dari pengusaha sampe kontraktor sampe pejabat dan lainya.pada gendut mungkin karna banyaknya pembangunan.<br>Semoga bermanfaat bagi Nusa bangsa,Negatif
2023-03-08T13:54:37Z,Pantex Lah,Jakarta sudah..sesak dgn manusia..jadi saya setuju ikn..berjalan...dari pada habis anggaran buat jakarta..macet lah banjir lah..mana jkrta mau tenggelam..lah....,Positif
2023-03-08T13:18:46Z,Rey Fandy Cs Channel,Mantap jiwa👍👍. <br>Semoga pekerjaan berjalan lancar pak bos. <br>👷👷👍🤝🤝,Positif
2023-03-05T12:48:38Z,Hendri Kus,Mantap lKN,Positif
2023-03-05T02:18:00Z,Mak Cempluk99,Semoga lancar dan selesai tepat waktunya,Positif
2023-03-02T10:03:28Z,Hani Aja,Habis hutannya kalimantan demi IAkN,Negatif
2023-03-03T02:23:53Z,rey 1010,hutan industri itu. bukan hutan alam.,Netral
2023-03-01T09:26:07Z,RIDER HIJRAH,Saya orang Jawa barat. Saya Indonesia. Sangat mendukung dibangunnya IKN di Kalimantan.<br>Semoga berjalan dengan lancar.,Positif
2023-03-01T06:48:40Z,Romlih Sagon,Semoga anak cucu saya tidak lagi bilang &quot,Netral
2023-02-28T23:48:34Z,Ganda rw,"Saya banqqa sama bapak president,semoqa berkah baqi rakyat indonesia💪💪💪🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩",Positif
2023-02-28T14:04:49Z,Zaini Zaini,Semoga Seperti tokyo,Positif
2023-02-27T07:27:27Z,lasla ryan chenel formosa,❤️❤️❤️❤️,Netral
2023-02-27T05:55:31Z,atika mayadah,Semoga pembangunan IKN diberikan kelancaran dan semua yg terlibat langsung dg pembangunan ini diberikan kesehatan oleh Allah SWT...bangga sbg warga Kaltim semoga Indonesia semangkin Maju,Positif
2023-02-27T03:51:04Z,BANGGA JADI OPOSISI,Kasihan. 2024 presiden berganti. Kekaisaran akan berakhir. RedBull pasti kalah,Negatif
2023-02-26T15:22:09Z,Hero Moeslem,"Semoga lancar dan tidak jadi kota mati karena kehabisan dana... Agak deg degan juga, krena tahun depan dah keluar dana banyak lgi untuk pemilu",Positif
2023-02-26T12:12:50Z,Koestono,"Tenaga kerja di awal s/d des 2023 membangunan.IKN,sekitar 20.000 tki semoga tidak lebih dr 200.tka yg di kerjakan.",Netral
2023-02-26T11:49:17Z,SAHIM MOTOVLOG,"Terus kalau ganti presiden tar siapa yg lanjutin,kalau presiden yg baru gak mau",Negatif
2023-02-26T10:24:51Z,Robiah,Masya Allah. Alhamdulillah .<br>Bismillah bismillah bismillah tawakaltu alla lancar,Positif
2023-02-26T00:29:31Z,Matngali Harianto,Smoga pembangunan ikn tidak membebani keuangan negara dan bebas dari korupsi.,Positif
2023-02-25T05:53:01Z,Hans Prayoga,"Sbg Bangsa Yg besar IKN wajib dan harus di Tuntaskan Pengerjaan nya Oleh Presiden selanjut nya.<br>Tinggal ngikuti Planing yg sdh ada.<br>IKN bkn saja Peradaban baru bagi bangsa Ini, Tp jg akan menjadi ICON baru kedepan nya.<br>Smg Lancar,Aman dan Sehat Para Pemimpin bangsa dan Pekerja IKN nya,Amin.",Positif
2023-02-24T19:42:01Z,putra Ankara murka,2024 sudah jadi apa belom ya???,Netral
2023-02-24T07:26:11Z,Umi Mahmudah,Smngat semuanya ... Smg pmbngunan ikn brjlan lancar.,Positif
2023-02-24T04:33:07Z,Sebastian,Terus semanggat membangun nusantara ikn kalimantan timur,Positif
2023-02-24T04:08:59Z,Ali jagad,Semoga semua tetap satu tujuan satu impian mewujudkan ikan ini 🤲,Positif
2023-02-24T02:42:56Z,BURN IT ALL,Semoga jadi mangkrak dan buat sarang demit,Negatif
2023-02-26T11:06:56Z,Risman Somary,Hidup di Indonesia engga enak,Negatif
2023-02-24T01:24:38Z,Seputar Lampung,Mantap,Positif
2023-02-23T23:23:36Z,cyber zalam,Alhamdulillah,Positif
2023-02-23T16:08:49Z,Jhoy Joehanez,Kok tempat ibadahnya cuma  satu kepercayaan ya? Emang yang kerja disana seagama doang? Toleransinya dimana??,Negatif
2023-02-23T15:31:55Z,Miftahul Huda,Saran pak sarana olahraga pak,Netral
2023-02-23T09:00:23Z,Fsiko Tutor,"ga kebayang,, pembangunan ikn ini terbagi jd beberapa tahap hingga 2045 nnti",Netral
2023-02-23T07:52:34Z,Puh PUH,"Mntab IKN. Tetapi untuk tempat ibadah yang akan dibanguan kok cuma masjid bos, yang agama lain bgmn? Kalau tempat ibadah agama lain gak dibangun, ntar kalau mereka bangun tempat ibadah sendiri akan diganggu sama kelompok kadrun.",Positif
2023-02-23T07:17:03Z,AGNOSTIK IDN,Feeling gw gk enak.. suatu keajaiban kalo proyek ini slesai,Negatif
2023-02-22T22:13:04Z,Dadang Rahmat,"IKN akan menyerap ribuan tenaga kerja, bravo NKRI, semoga lancar jaya, Aamiin,",Positif
2023-02-22T08:24:56Z,Utuh Kelenjer channel,"Mantap, Indonesia Mantap",Positif
2023-02-22T08:02:44Z,Dadi Official chanel,Jdi pingin pindah k nusantara,Netral
2023-02-22T04:19:51Z,Vave Evav,Ada loker gk pa dibagian apa ajah gpp. Yg penting saya dpt pekerjaan untuk membahagiakan istri dan dua anak saya,Netral
2023-02-22T03:10:55Z,Aull Aulia,"bp jokowi dan kh amin, di percaya untuk nusa dan bngsa",Positif
2023-02-21T21:35:05Z,Sulam Wijaya,Knp gk ada bangunan gereja dan kelenteng? Gk toleran dong,Negatif
2023-02-21T20:42:37Z,Natalia Vina Concetta,Semoga proses pembangunanna lancar &amp,Positif
2023-02-21T09:52:08Z,Artus Bky,"Bukan hanya masjid, tapi harus ada gereja, pura kuil juga agar semua org bisa beribadah sesuai agamanya..",Positif
2023-02-21T09:17:10Z,Abdul Rahman_85,paling ujung2nya mangkrak,Negatif
2023-02-21T05:22:33Z,desa karangkedawung,"Semoga lancar dan tidak ada aral dan rintangan,,ini akan menciptakan lapangan pekerjaan yg baru,suasana yg baru dan kota yg baru dan ramah lingkungan,, dan pembangunan kontruksi dll benar2 kuat dan bukan Abal2,,semoga Allah memberikan kelancaran,,,Amiiiin 🤲🤲🙏",Positif
2023-02-21T04:25:43Z,ngapngapngap,presiden gila bsnya buang uang nyari uang ga BS ...nyusahin rakyat doang ....,Negatif
2023-02-21T03:00:52Z,Anto Official Vlog,bagus,Positif
2023-02-20T15:21:22Z,Yudhi Haryono,"secepatnya kalau bisa pindah, .....",Netral
2023-02-20T11:06:12Z,Nunik Kanaya,Jangan pda kurupsi ya harus jjur😊,Negatif
2023-02-20T09:37:59Z,Apri Yansah,Proyek para pejabat,Negatif
2023-02-20T09:25:32Z,Paulus Ratiman,"Sudah selayaknya hunian pekerja konstruksi dibuat senyaman mungkin. Pekerja adalah pelaksana terdepan dan ujung tombak terwujudnya pembangunan kota dunia, IKN Nusantara. Semoga ke depannya setiap proyek dapat menyediakan tempat/hunian yang layak bagi para pekerjanya sebagaimana megaproyek IKN Nusantara. Sebab selama ini terkesan hunian pekerja (konstruksi) hanya sebatas bedengan yang sumpek, semrawut dan kumuh. Semoga megaproyek IKN Nusantara sukses, inspiratif, inovatif, Indonesia maju.  Terima kasih.",Positif
2023-02-20T04:42:44Z,new mind jr,Lahan gua abis woy,Negatif
2023-02-19T14:51:30Z,Zulkufli Aziz,"Aku lihat tanah2nya masih kosong sekedar baru dibersihkan/diratakan, belum didirikan bangunan, sedangkan projek ini sudah dimulai 2 tahun yang lalu. Perancangan demi perancangan saja yang masih terus berjalan. Tahun berapa akan siap semuanya ya? Katanya akan ambil masa 20 tahun baru siap. Bersabarlah duhai rakyat Indonesia.",Positif
2023-02-19T11:13:53Z,princekillgirls,Cuma bisa liat bakal jadi apa 😂,Negatif
2023-02-19T09:53:22Z,Aroma Boold,Sama aja ibukota baru kalo pengelolaan sampahnya tidak tertata dengan baik akan ada banjir lagi,Negatif
2023-02-18T16:37:30Z,Aji Purwaka,Hutang yang begitu numpuk pakde.. <br>Hmpir 8000 triliun. Hadehhh semoga kedepannya bisa di angsur pelan pelan,Negatif
2023-02-18T15:49:36Z,Lisa,"Kalimantan 1 pulau, 3 negara ,mantappp",Netral
2023-02-18T13:52:51Z,RBMnetwork TV,Mantap! Semoga success.Di Malaysia ada putrajaya..Indonesia ada Nusantara💪🏻💪🏻💪🏻💪🏻👍🏻👍🏻👍🏻👍🏻,Positif
2023-02-18T13:19:36Z,Eka hamid Hamid,Mirip Freeport ato Newmont,Netral
2023-02-18T13:12:08Z,Kumiscy,Kok pengen tinggal di sana ya,Netral
2023-02-18T10:03:53Z,krido widyantoro,mantap pak danis....sukses,Netral
2023-02-18T09:58:48Z,A. Zakaria,Apakah untuk Indonesia atau akan diisi imigran tiongkok,Negatif
2023-02-26T11:09:26Z,Risman Somary,Untuk cina,Negatif
2023-02-18T09:08:16Z,Muis Djafar,M̊ån̊t̊åp̊,Netral
2023-02-18T04:37:51Z,Nunung Subardi,"Hebatnya dimana duit hutang ,buat bangun terus ngga produktif ,emangnyee dah kelebihan duit ...rakyat rakyat juga yg di bebanin",Negatif
2023-02-26T11:09:52Z,Risman Somary,Betul rakyat yang harus lunasi,Negatif
2023-02-17T15:50:25Z,sawung galing,Kolom komen fuul BUZER,Netral
2023-02-17T11:50:04Z,caknoval,Lumayanlah......bisa jadi ibukota termungil di di dunia 😄,Netral
2023-02-17T07:45:36Z,I Ketut Tangkas Suargita,untuk masjidnya.... tolong dong hanya pakai pengeras suara di dalam ruangan aja..... biar kagak bikin bising....,Netral
2023-02-17T02:39:19Z,Hamsil,"Hanya kadrun yg menghalang halangi pembangunan IKN.,betulkan?",Netral
2023-02-17T01:40:50Z,HeR BoW,👍🇮🇩  Semoga  MOBIL²  LISTRIK   ESEMKA  bisa  dijadikan  mobil  Dinas  semua  Pejabat   Indonesia  di  IKN  🇮🇩  Contohlah  mobil  PROTON yg  sudah  lama  dijadikan  kendaraan   dinas  Pejabat  Kerajaan  Malaysia.,Negatif
2023-02-17T01:38:51Z,HeR BoW,👍🇮🇩  Semoga  MOBIL²  LISTRIK  PRODUK  ESEMKA  bisa  dijadikan  mobil  Dinas  Pejabat   Indonesia  🇮🇩  Contohlah  mobil  PROTON yg  sudah  lama  dijadikan  kendaraan   dinas  Pejabat  Kerajaan  Malaysia.,Negatif
2023-02-17T01:27:52Z,HeR BoW,"SEMOGA  MOBIL  DINAS  PEJABAT,  TNI  DAN  POLRI  DI  IKN   MENGGUNAKAN   MOBIL²  PRODUK  ESEMKA.     Contohlah  rasa  mobil  PROTON yg  sudah  lama  dijadikan  kendaraan   dinas  Pejabat  Kerajaan  Malaysia.",Netral
2023-02-16T18:52:19Z,Rangga Allfess,Mantap,Positif
2023-02-16T13:16:09Z,Melly Rosita,Pasti mogok wkwkwkwkwkwkwkwkwkwk,Negatif
2023-02-16T09:13:52Z,dulgani production,"mantul,",Positif
2023-02-16T03:00:22Z,Muhammad dzaky rifa'i,mendidik 🥰😍🤩,Netral
2023-02-16T01:32:03Z,Dunia Pleci,1 indonesia biar perdagangan kita maju lebih dari malaysia,Netral
2023-02-15T21:20:29Z,r4chm4d1989,"Hedeh... Ini proyek yg nikmati siapa sih, maksa banget ya. Pekerjax dari luar, kasihan warga lokal jd penonton. Tambah macet ja balikpapan.",Negatif
2023-02-26T11:10:24Z,Risman Somary,Betul pa,Netral
2023-02-15T12:10:45Z,Jhon,Gak sabar dengar pengumuman resmi ibukota NKRI pindah ke kalimantan. 👏🎊,Positif
2023-02-15T09:21:29Z,LULUS SENSOR,Yang menolak IKN itu org2 yg tidak mengerti perasaan rakyat diluar pulau jawa.mari kita hapus stigma &quot,Netral
2023-02-15T04:31:33Z,AKAL SEHAT,Alhamdulillah sekian puluh tahun indonesia merdeka baru mau punya rumah sendiri jati diri bangsa terimakasih JOKOWI telah melaksanakan konsep soekarno,Positif
2023-02-14T14:15:57Z,Vi Vo,"Saya, bangga ada,ibu,kota,baru,,semoga sokses,",Positif
2023-02-14T05:25:08Z,BOBA MILK,Biar saya dan teman&quot,Netral
2023-02-14T05:24:26Z,BOBA MILK,Makanannya jgn mahal&quot,Negatif
2023-02-14T05:08:34Z,abdul majid,makksaaiinn,Negatif
2023-02-14T04:00:06Z,Lye haidir,Mantap,Positif
2023-02-14T01:19:43Z,Dian Alhadi490,Kerah kan SEMUA INSYIYUR2 TERBAIK &amp,Netral
2023-02-13T23:38:54Z,faiq fauzie,Mantab....!!! Pengembangan UTANG sangat pesat....!!! Sungguh bodoh...!!! hhhh,Positif
2023-02-13T14:38:10Z,kamaru dangan,lambat ya,Negatif
2023-02-13T11:42:30Z,LOL〽️,"Mantap IKN tak ada Gempa , banjir, gunung berapi,,, semoga aman",Positif
2023-02-15T18:27:30Z,Mujiani Ni,Amien YRA.🤲,Netral
2023-02-13T08:39:17Z,Ari Zen,Nnt Indonesia jd ap jk diubah jd Nusantara?,Negatif
2023-02-13T05:34:12Z,Bjoko,Konsep dan tata ruang Pembagunan Kota terbaik ada di Papua (Kota Kuala Kecana - Timika Papua),Netral
2023-02-13T05:31:44Z,Bjoko,Kalau bisa bangun Tempat ibadah 5 Agama yang di Akui di Negeri ini... 🙏😇,Netral
2023-02-12T11:22:54Z,Rachman Tala,Pengen kerja di ikn 🥲,Netral
2023-02-12T10:38:15Z,ali vikal,"goodbye demo2 😅😅ga akan ada lagi tuh demo2 ke gedung DPR,, ga akan ada lagi tuh demo2 yg blokir2 jalan.",Netral
2023-02-12T06:26:21Z,lenpo ponel,"Mana alat canggih, berat, klau bikin IKN pakai cangkul, alat manual ya bikin gubuk ajalah",Negatif
2023-02-12T05:50:02Z,Epunk Islam,"Hidup harus memahami perubahan,tanpa program matilah kita,presiden Joko Widodo pemimpin cerdas mampu memaksa masyarakat menatap masa depan,dg proram proramnya,klo bergelut dg kesulitan tp tidak mbangun solusi Indonesia kedepan akan jd bangsa pinggiran,semoga dg program ,dan pembangunan terus berjalan kita harus yakin Indonesia maju dalam kepastian.",Positif
2023-02-12T01:28:49Z,Edi Jaya,"Saran ya, harusnya yg pertama itu sistem drainase, jalan dan listrik dan air.",Netral
2023-02-11T06:53:44Z,Jual Wallpaper,semoga gak makrak.. kalo mangkrang habisss sudah duit negaraaa,Negatif
2023-02-11T06:52:38Z,Jual Wallpaper,"semogaaa  kata kata dianak emaskan pulau jawa cepat hilang, dri publik.. pulau lain",Netral
2023-02-10T23:17:05Z,Puji yono,Benar2 pembangunan mega proyek yang membutuhkan beaya yang sangat besar...beayanya dari mana ya..semoga tidak ngutang..pemb  berjalan lancar dan ekonomi rakyat juga semakin baik,Positif
2023-02-26T11:11:42Z,Risman Somary,Pasti ngutang,Negatif
2023-02-10T12:43:43Z,Noer hzm,"YANG PERLU DI UTAMAKAN SBLM MEMBANGUN YA USAHAKAN MENATA DAN MERANCANG GORONG2 AIR DAN  PERKABELAN, JANGAN SAMPAI SETELAH JADI BARU PROSES PENGKABELAN DAN GORONG2 DIBUAT",Netral
2023-02-10T12:22:51Z,aji juniantoro,"Saran sih harusnya jalan tol nya pakai 5 jalur. Dan kanan kiri kasih space untuk taman setara 1 jalur, seger deh keknya. Tapi Semangat para pekerja 😁",Netral
2023-02-10T12:01:40Z,Nano Nano,Aku ingin pindah ke Meikarta,Netral
2023-02-10T11:23:43Z,Lombok Ali,Intinya.jangan ada yang korupsi !!!,Netral
2023-02-10T08:37:18Z,Riko Tanpati,Mudah&quot,Netral
2023-02-10T03:43:23Z,juragan 69,Pengan jalan ke situ,Netral
2023-02-10T02:09:53Z,Willyagara,info Loker di sana dong,Netral
2023-02-10T00:42:01Z,Mike Bolon,Gereja ngk dbangun ya pak?,Netral
2023-02-09T17:19:28Z,sinobi,Semoga nanti presidennya juga org kalimantan 🙏,Netral
2023-02-09T11:25:23Z,Ikhwan Albadar,"Mixue berada di sayap barat daya dekat instalasi BUMN, memutari kompleks pemerintahan kementrian",Netral
2023-02-09T10:55:04Z,R.A.F UNIVERSE,😂 njir 12 persen pdhl tahun dpn hrs pindah,Negatif
2023-02-09T10:15:20Z,dark my heart,"Ribuan pekerja lokal terserap .dan kelurahan lewat rt..selalu infoo saat ad lowongan pekerja..dan diharapkan 2024 jgn salah pilih capres agar bisa ikn dilanjut jgn salah pilih dan terbuai dgn capres yg obral janji dan kata ,,yuk cerdas memilih capres 2024. Yg sejalan dgn pak jokowi",Netral
2023-02-09T08:12:05Z,Lord Maldini,Good Bye Jakarta. Yang penuh ORMAS-ORMAS FPI dan preman-preman jalanan.,Netral
2023-02-09T02:03:59Z,Tijo Firda,Yaa bangunan besar. Tapi bagian bakar ringan terus sekarang gak ada yg di gaji sama sekali.😂😂😂😂,Negatif
2023-02-08T15:43:25Z,kakaroto namex,Aku yakin jadi Hambalang kedua wkwkw,Negatif
2023-02-08T14:28:10Z,Tatang Ttg,Mantul .. mau lah sy JD kulinya disana 👌,Positif
2023-02-08T14:15:24Z,Hendra Sukmawinata,Boleh kynya ksini buka Brilink 😁,Netral
2023-02-08T09:32:04Z,Titik Mulyani,"Ayo generasi milenial , gen Z dan seterusnya, semangat belajar, bekerja dan jangan lupa  selalu  berintegritas dan berakhlak mulia, Menjaga Pancasila  dan UUD 45..Kalianlah yang selanjutnya akan mengelola negeri tercinta ini ... Ibukota Negara yg baru menanti",Positif
2023-02-08T01:00:38Z,myazleoful,"<i>Biaya pembangunan ikn kini telah mencapai Rp58 trilyun setelah dua kali mengalami kenaikan dari biaya yang diusulkan, terlihat jelas pengerjaan pembangunan proyek tersebut sangat lamban, hal ini akan menyebabkan biaya semakin membengkak karena semakin memburuknya situasi ekonomi global</i>",Negatif
2023-02-08T00:05:01Z,Rolando Vidi,Wakanda co,Negatif
2023-02-07T23:50:59Z,Gabriel Kandouw,Kok hanya masjid yg di bangun,Negatif
2023-02-08T09:54:15Z,Ananda Titis,Mayoritas calon pekerja di prediksi muslim bro ...muslim ibadah 5x sehari ..yg lain nantinya bisa menggunakan ruangan jadi tempat peribadatan fungsional atau bisa otw ke kota tiap minggu,Netral
2023-02-07T15:39:50Z,jamal KTT,Kenapa ada lagi kalimat Nusantara,Negatif
2023-02-07T06:34:57Z,Nila Ira Karmila Sari,❤❤❤❤❤❤,Netral
2023-02-07T02:10:21Z,Sutejaja,Ini karya anak bangsa ssdh 70 th merdeka,Netral
2023-02-06T13:03:02Z,B S,🤣🤣🤣🤣 ksiann indonn pndahh yaaa bentar lagi jakartaaaaayoooo nya tenggelam,Negatif
2023-02-06T12:57:06Z,Nur Hayati,Coba sih rumah sama gedung gedung atau jalan tu dibikin lurus aja nggak mereng sini mereng sana muter muter biyar kayak dieropa2 gitu rapih😂,Negatif
2023-02-06T09:34:08Z,Putra Pratama,Keren !!! Luar biasa,Positif
2023-02-06T08:42:14Z,AD70.,Saya orang 🇲🇾 bangga dengan negara jiran kami Indonesia semoga maju terus Dan Salam damai.👌,Positif
2023-02-06T05:11:16Z,"Sukanto oppo, ST.",Sy wakil (QC &amp,Netral
2023-02-06T03:10:02Z,Novi SN,"bangganya kampung halaman jadi IKN.. smoga lancar semua pembangunan, dan tetap melestarikan penghijauan &amp",Positif
2023-02-05T16:57:49Z,Nillam Cahya,Cara nglamar kerja di proyek gmna bang,Netral
2023-02-08T09:56:11Z,Ananda Titis,Cari info sertifikasi kerja di IKN bang ...atau bisa cari loker WIKA atau BUMN lain yg bakal jadi kontraktor di IKN butuhnya banyak,Netral
2023-02-05T15:57:52Z,Imam Fadly,Majulah terus bangsaku💞💞,Positif
2023-02-05T14:40:15Z,Atina MF,Semoga tidak menggangu ekosistem disana,Positif
2023-02-05T10:25:35Z,Nuraini,Tanah yg nantinya dibangun gedung dpr boleh ditanam bom dulu gak buat jaga jaga kalo mereka berulah suatu hari nanti,Negatif
2023-02-05T08:40:47Z,Jhon Rambo,"Abis kalimantan jadi orang jawa punya next sulawesi, papua dan semuanya tunduk!!! Mantapp lanjutkan!!",Netral
2023-02-05T07:41:05Z,Jhon Rambo,Moga2 nga jadi seperti meikarta,Positif
2023-02-05T07:22:14Z,Hambali Bapak,Ikn pasti MENCRET MENCRET....,Negatif
2023-02-05T06:34:52Z,Yani Lembok,Smoga lancar ap yg di inginkan amiiinnn 😚,Positif
2023-02-05T03:55:57Z,Okky Sianturi,"Bro, kau juga bangun semua rumah ibadah yg resmi di indonesia ini",Netral
2023-02-05T03:54:53Z,Nikita Calista,ikn gk gunna bikin rkyat sengsara,Negatif
2023-02-26T11:42:18Z,memes,@Risman Somary wkwk jawir,Netral
2023-02-26T11:14:31Z,Risman Somary,@Nikita Calista betul mba,Netral
2023-02-26T11:14:19Z,Risman Somary,@Ananda Titis lu yang sotoy,Negatif
2023-02-26T11:14:07Z,Risman Somary,@memes bacot lu,Negatif
2023-02-13T17:49:25Z,memes,Jawir ga terima Ibukota di pindah makanya ngoceh gajelas,Negatif
2023-02-04T23:58:14Z,Rhandy Chandra,Warung rakyat yg kurang ekonomi tanpa rakyat kurang ekonomi GK jadi apa apa orang besar pun . Klo smua toko besar mungkin kalah mol mol itu .,Negatif
2023-02-04T16:43:17Z,Muhidin Din,Semoga Alloh senantiasa diberi kesehatan dan klancaran para stekholder yg trlibat dalam Pembangunan IKN amiin.,Positif
2023-02-04T15:58:19Z,Roisul Arif,Semoga dilancarkan dan cepet terealisasi,Positif
2023-02-04T11:19:59Z,rasyaa chanel,"Meikarta 287 T mangkrak,apa kabar IKN Kalimantan",Negatif
2023-02-08T10:02:44Z,Ananda Titis,FYI meikarta ga mangkrak cuma pembangunannya  lelet poll ..lagipula meikarta milik swasta ...sementara IKN negara ..dan lagi IKN sudah jadi proyek nasional jangka panjang dan dilindungi undang undang ...tiap tahap pembangunan pun sudah di target ...tahap 1(dasar) target selesai 2024 ..tahap 2 target selesai 2030 ...sampai tahap 5 target selesai tahun 2045,Positif
2023-02-04T11:08:20Z,Cahaya TV,Pingin ngelamar kerja nukang disana biar punya crita kepada anak cucu,Negatif
2023-02-04T09:21:34Z,Modal Gopek,Anak cucu kita bakalan menikmati ini.. <br>Semangat..,Positif
