,Unnamed: 0,Komentar,Polarity,casefolding,cleaned_text,normalized_text,tokenizing,stopword,stemming,text_preprocessed
10,13,semoga tidak dimanfaatkan koruptor<br><br>jika ada koruptor proyek ini harus di hukum mati,Positif,semoga tidak dimanfaatkan koruptor<br><br>jika ada koruptor proyek ini harus di hukum mati,semoga tidak dimanfaatkan koruptor  jika ada koruptor proyek ini harus di hukum mati,semoga tidak dimanfaatkan koruptor jika ada koruptor proyek ini harus di hukum mati,"['semoga', 'tidak', 'dimanfaatkan', 'koruptor', 'jika', 'ada', 'koruptor', 'proyek', 'ini', 'harus', 'di', 'hukum', 'mati']","['semoga', '', 'dimanfaatkan', 'koruptor', '', '', 'koruptor', 'proyek', '', '', '', 'hukum', 'mati']","['moga', '', 'manfaat', 'koruptor', '', '', 'koruptor', 'proyek', '', '', '', 'hukum', 'mati']","['moga', 'manfaat', 'koruptor', 'koruptor', 'proyek', 'hukum', 'mati']"
11,14,saya harap kualitas jalan dan trotoar sepeti di negara&quot,Positif,saya harap kualitas jalan dan trotoar sepeti di negara&quot,saya harap kualitas jalan dan trotoar sepeti di negara,saya harap kualitas jalan dan trotoar seperti di negara,"['saya', 'harap', 'kualitas', 'jalan', 'dan', 'trotoar', 'seperti', 'di', 'negara']","['', 'harap', 'kualitas', 'jalan', '', 'trotoar', '', '', 'negara']","['', 'harap', 'kualitas', 'jalan', '', 'trotoar', '', '', 'negara']","['harap', 'kualitas', 'jalan', 'trotoar', 'negara']"
12,15,Jojowi pensiun jadi Presiden baru IKN terbaru baru selesai dibangun,Negatif,jojowi pensiun jadi presiden baru ikn terbaru baru selesai dibangun,jojowi pensiun jadi presiden baru ikn terbaru baru selesai dibangun,joko widodo pensiun jadi presiden baru ikn terbaru baru selesai dibangun,"['joko', 'widodo', 'pensiun', 'jadi', 'presiden', 'baru', 'ikn', 'terbaru', 'baru', 'selesai', 'dibangun']","['joko', 'widodo', 'pensiun', 'jadi', 'presiden', 'baru', 'ikn', 'terbaru', 'baru', 'selesai', 'dibangun']","['joko', 'widodo', 'pensiun', 'jadi', 'presiden', 'baru', 'ikn', 'baru', 'baru', 'selesai', 'bangun']","['joko', 'widodo', 'pensiun', 'jadi', 'presiden', 'baru', 'ikn', 'baru', 'baru', 'selesai', 'bangun']"
13,16,"Ayo, masyarakat Kalimantan jaga terus IKN agar menjadi Harum dan kiblat dunia",Positif,"ayo, masyarakat kalimantan jaga terus ikn agar menjadi harum dan kiblat dunia",ayo  masyarakat kalimantan jaga terus ikn agar menjadi harum dan kiblat dunia,ayo masyarakat kalimantan jaga terus ikn agar menjadi harum dan kiblat dunia,"['ayo', 'masyarakat', 'kalimantan', 'jaga', 'terus', 'ikn', 'agar', 'menjadi', 'harum', 'dan', 'kiblat', 'dunia']","['ayo', 'masyarakat', 'kalimantan', 'jaga', 'terus', 'ikn', '', 'menjadi', 'harum', '', 'kiblat', 'dunia']","['ayo', 'masyarakat', 'kalimantan', 'jaga', 'terus', 'ikn', '', 'jadi', 'harum', '', 'kiblat', 'dunia']","['ayo', 'masyarakat', 'kalimantan', 'jaga', 'terus', 'ikn', 'jadi', 'harum', 'kiblat', 'dunia']"
14,17,Bismillah lancar...,Positif,bismillah lancar...,bismillah lancar,bismillah lancar,"['bismillah', 'lancar']","['bismillah', 'lancar']","['bismillah', 'lancar']","['bismillah', 'lancar']"
15,18,kalo kebanyakan jalan raya sama aja bohong gak sih banyak polusi walaupun dihutan mending ganti kereta karena gw gak tahu apa² jadi ya sudah,Negatif,kalo kebanyakan jalan raya sama aja bohong gak sih banyak polusi walaupun dihutan mending ganti kereta karena gw gak tahu apa² jadi ya sudah,kalo kebanyakan jalan raya sama aja bohong gak sih banyak polusi walaupun dihutan mending ganti kereta karena gw gak tahu apa jadi ya sudah,kalau kebanyakan jalan raya sama saja bohong tidak sih banyak polusi walaupun dihutan mending ganti kereta karena saya tidak tahu apa jadi iya sudah,"['kalau', 'kebanyakan', 'jalan', 'raya', 'sama', 'saja', 'bohong', 'tidak', 'sih', 'banyak', 'polusi', 'walaupun', 'dihutan', 'mending', 'ganti', 'kereta', 'karena', 'saya', 'tidak', 'tahu', 'apa', 'jadi', 'iya', 'sudah']","['kalau', 'kebanyakan', 'jalan', 'raya', 'sama', '', 'bohong', '', 'sih', 'banyak', 'polusi', 'walaupun', 'dihutan', 'mending', 'ganti', 'kereta', '', '', '', 'tahu', 'apa', 'jadi', 'iya', '']","['kalau', 'banyak', 'jalan', 'raya', 'sama', '', 'bohong', '', 'sih', 'banyak', 'polusi', 'walaupun', 'hut', 'mending', 'ganti', 'kereta', '', '', '', 'tahu', 'apa', 'jadi', 'iya', '']","['kalau', 'banyak', 'jalan', 'raya', 'sama', 'bohong', 'sih', 'banyak', 'polusi', 'walaupun', 'hut', 'mending', 'ganti', 'kereta', 'tahu', 'apa', 'jadi', 'iya']"
16,19,untuk pelatihan tenaga kontruksi di jawa kapan pak .,Netral,untuk pelatihan tenaga kontruksi di jawa kapan pak .,untuk pelatihan tenaga kontruksi di jawa kapan pak,untuk pelatihan tenaga kontruksi di jawa kapan bapak,"['untuk', 'pelatihan', 'tenaga', 'kontruksi', 'di', 'jawa', 'kapan', 'bapak']","['', 'pelatihan', 'tenaga', 'kontruksi', '', 'jawa', 'kapan', 'bapak']","['', 'latih', 'tenaga', 'kontruksi', '', 'jawa', 'kapan', 'bapak']","['latih', 'tenaga', 'kontruksi', 'jawa', 'kapan', 'bapak']"
17,20,"Ada yg bilang ...... Para pejabat negara , ASN dan semua petugas negara mana mau bertugas di hutan jin buang anak ...... (?) Ini kata mereka . Jawabannya mudah , yg tidak mau di kan bisa mundur , jutaan masyarakat ngantri menjadi PNS , ASN dan yg lain bisa gantikan ....... Ngak taat peraturan kan bisa di pecat / mundur .  Pembangunan / pindah ibukota itu sudah di bicarakan dari jaman Suekarno hingga sekarang ..... Hanya presiden Jokowi yg berani eksekusi ..... Masak gitu aja kok kagetan , kadron sih saya ngak pernah heran ..... Apa sih mereka yg cocok sama semua kebijakan pemerintah , selain curiga , sok dan bikin fitnah ngalor-ngidul ngak ada capeknya .",Negatif,"ada yg bilang ...... para pejabat negara , asn dan semua petugas negara mana mau bertugas di hutan jin buang anak ...... (?) ini kata mereka . jawabannya mudah , yg tidak mau di kan bisa mundur , jutaan masyarakat ngantri menjadi pns , asn dan yg lain bisa gantikan ....... ngak taat peraturan kan bisa di pecat / mundur .  pembangunan / pindah ibukota itu sudah di bicarakan dari jaman suekarno hingga sekarang ..... hanya presiden jokowi yg berani eksekusi ..... masak gitu aja kok kagetan , kadron sih saya ngak pernah heran ..... apa sih mereka yg cocok sama semua kebijakan pemerintah , selain curiga , sok dan bikin fitnah ngalor-ngidul ngak ada capeknya .",ada yg bilang        para pejabat negara   asn dan semua petugas negara mana mau bertugas di hutan jin buang anak         ini kata mereka   jawabannya mudah   yg tidak mau di kan bisa mundur   jutaan masyarakat ngantri menjadi pns   asn dan yg lain bisa gantikan         ngak taat peraturan kan bisa di pecat  mundur   pembangunan  pindah ibukota itu sudah di bicarakan dari jaman suekarno hingga sekarang       hanya presiden jokowi yg berani eksekusi       masak gitu aja kok kagetan   kadron sih saya ngak pernah heran       apa sih mereka yg cocok sama semua kebijakan pemerintah   selain curiga   sok dan bikin fitnah ngalorngidul ngak ada capeknya,ada yang bilang para pejabat negara asn dan semua petugas negara mana mau bertugas di hutan jin buang anak ini kata mereka jawabannya mudah yang tidak mau di kan bisa mundur jutaan masyarakat mengantri menjadi pns asn dan yang lain bisa gantikan tidak taat peraturan kan bisa di pecat mundur pembangunan pindah ibukota itu sudah di bicarakan dari jaman suekarno hingga sekarang hanya presiden jokowi yang berani eksekusi masak begitu saja kok kagetan kadron sih saya tidak pernah heran apa sih mereka yang cocok sama semua kebijakan pemerintah selain curiga sok dan bikin fitnah ngalorngidul tidak ada capeknya,"['ada', 'yang', 'bilang', 'para', 'pejabat', 'negara', 'asn', 'dan', 'semua', 'petugas', 'negara', 'mana', 'mau', 'bertugas', 'di', 'hutan', 'jin', 'buang', 'anak', 'ini', 'kata', 'mereka', 'jawabannya', 'mudah', 'yang', 'tidak', 'mau', 'di', 'kan', 'bisa', 'mundur', 'jutaan', 'masyarakat', 'mengantri', 'menjadi', 'pns', 'asn', 'dan', 'yang', 'lain', 'bisa', 'gantikan', 'tidak', 'taat', 'peraturan', 'kan', 'bisa', 'di', 'pecat', 'mundur', 'pembangunan', 'pindah', 'ibukota', 'itu', 'sudah', 'di', 'bicarakan', 'dari', 'jaman', 'suekarno', 'hingga', 'sekarang', 'hanya', 'presiden', 'jokowi', 'yang', 'berani', 'eksekusi', 'masak', 'begitu', 'saja', 'kok', 'kagetan', 'kadron', 'sih', 'saya', 'tidak', 'pernah', 'heran', 'apa', 'sih', 'mereka', 'yang', 'cocok', 'sama', 'semua', 'kebijakan', 'pemerintah', 'selain', 'curiga', 'sok', 'dan', 'bikin', 'fitnah', 'ngalorngidul', 'tidak', 'ada', 'capeknya']","['', '', 'bilang', '', 'pejabat', 'negara', 'asn', '', 'semua', 'petugas', 'negara', 'mana', 'mau', 'bertugas', '', 'hutan', 'jin', 'buang', 'anak', '', 'kata', '', 'jawabannya', 'mudah', '', '', 'mau', '', 'kan', '', 'mundur', 'jutaan', 'masyarakat', 'mengantri', 'menjadi', 'pns', 'asn', '', '', '', '', 'gantikan', '', 'taat', 'peraturan', 'kan', '', '', 'pecat', 'mundur', 'pembangunan', 'pindah', 'ibukota', '', '', '', 'bicarakan', '', 'jaman', 'suekarno', 'hingga', 'sekarang', '', 'presiden', 'jokowi', '', 'berani', 'eksekusi', 'masak', '', '', 'kok', 'kagetan', 'kadron', 'sih', '', '', 'pernah', 'heran', 'apa', 'sih', '', '', 'cocok', 'sama', 'semua', 'kebijakan', 'pemerintah', '', 'curiga', 'sok', '', 'bikin', 'fitnah', 'ngalorngidul', '', '', 'capeknya']","['', '', 'bilang', '', 'jabat', 'negara', 'asn', '', 'semua', 'tugas', 'negara', 'mana', 'mau', 'tugas', '', 'hutan', 'jin', 'buang', 'anak', '', 'kata', '', 'jawab', 'mudah', '', '', 'mau', '', 'kan', '', 'mundur', 'juta', 'masyarakat', 'antri', 'jadi', 'pns', 'asn', '', '', '', '', 'ganti', '', 'taat', 'atur', 'kan', '', '', 'pecat', 'mundur', 'bangun', 'pindah', 'ibukota', '', '', '', 'bicara', '', 'jaman', 'suekarno', 'hingga', 'sekarang', '', 'presiden', 'jokowi', '', 'berani', 'eksekusi', 'masak', '', '', 'kok', 'kaget', 'kadron', 'sih', '', '', 'pernah', 'heran', 'apa', 'sih', '', '', 'cocok', 'sama', 'semua', 'bijak', 'perintah', '', 'curiga', 'sok', '', 'bikin', 'fitnah', 'ngalorngidul', '', '', 'capek']","['bilang', 'jabat', 'negara', 'asn', 'semua', 'tugas', 'negara', 'mana', 'mau', 'tugas', 'hutan', 'jin', 'buang', 'anak', 'kata', 'jawab', 'mudah', 'mau', 'kan', 'mundur', 'juta', 'masyarakat', 'antri', 'jadi', 'pns', 'asn', 'ganti', 'taat', 'atur', 'kan', 'pecat', 'mundur', 'bangun', 'pindah', 'ibukota', 'bicara', 'jaman', 'suekarno', 'hingga', 'sekarang', 'presiden', 'jokowi', 'berani', 'eksekusi', 'masak', 'kok', 'kaget', 'kadron', 'sih', 'pernah', 'heran', 'apa', 'sih', 'cocok', 'sama', 'semua', 'bijak', 'perintah', 'curiga', 'sok', 'bikin', 'fitnah', 'ngalorngidul', 'capek']"
18,21,"Perlu di ingat yaa gesss yaa yang ngomongin utang negara mulu, pembangunan ikn gak 100% dr utang tapi ada juga dari apbn dan investasi. Hutang pun di bagi lagi jadi hutang dalam negri(ke rakyat) dan hutang luar negri. Kalau mau negara kita gak banyak ngutang keluar negri minimal taat bayar pajak &amp",Netral,"perlu di ingat yaa gesss yaa yang ngomongin utang negara mulu, pembangunan ikn gak 100% dr utang tapi ada juga dari apbn dan investasi. hutang pun di bagi lagi jadi hutang dalam negri(ke rakyat) dan hutang luar negri. kalau mau negara kita gak banyak ngutang keluar negri minimal taat bayar pajak &amp",perlu di ingat yaa gesss yaa yang ngomongin utang negara mulu  pembangunan ikn gak   dr utang tapi ada juga dari apbn dan investasi  hutang pun di bagi lagi jadi hutang dalam negrike rakyat dan hutang luar negri  kalau mau negara kita gak banyak ngutang keluar negri minimal taat bayar pajak,perlu di ingat iya gesss iya yang ngomongin hutang negara mulu pembangunan ikn tidak dari hutang tapi ada juga dari apbn dan investasi hutang pun di bagi lagi jadi hutang dalam negrike rakyat dan hutang luar negeri kalau mau negara kita tidak banyak hutang keluar negeri minimal taat bayar pajak,"['perlu', 'di', 'ingat', 'iya', 'gesss', 'iya', 'yang', 'ngomongin', 'hutang', 'negara', 'mulu', 'pembangunan', 'ikn', 'tidak', 'dari', 'hutang', 'tapi', 'ada', 'juga', 'dari', 'apbn', 'dan', 'investasi', 'hutang', 'pun', 'di', 'bagi', 'lagi', 'jadi', 'hutang', 'dalam', 'negrike', 'rakyat', 'dan', 'hutang', 'luar', 'negeri', 'kalau', 'mau', 'negara', 'kita', 'tidak', 'banyak', 'hutang', 'keluar', 'negeri', 'minimal', 'taat', 'bayar', 'pajak']","['perlu', '', 'ingat', 'iya', 'gesss', 'iya', '', 'ngomongin', 'hutang', 'negara', 'mulu', 'pembangunan', 'ikn', '', '', 'hutang', '', '', '', '', 'apbn', '', 'investasi', 'hutang', '', '', '', '', 'jadi', 'hutang', '', 'negrike', 'rakyat', '', 'hutang', 'luar', 'negeri', 'kalau', 'mau', 'negara', '', '', 'banyak', 'hutang', 'keluar', 'negeri', 'minimal', 'taat', 'bayar', 'pajak']","['perlu', '', 'ingat', 'iya', 'gesss', 'iya', '', 'ngomongin', 'hutang', 'negara', 'mulu', 'bangun', 'ikn', '', '', 'hutang', '', '', '', '', 'apbn', '', 'investasi', 'hutang', '', '', '', '', 'jadi', 'hutang', '', 'negrike', 'rakyat', '', 'hutang', 'luar', 'negeri', 'kalau', 'mau', 'negara', '', '', 'banyak', 'hutang', 'keluar', 'negeri', 'minimal', 'taat', 'bayar', 'pajak']","['perlu', 'ingat', 'iya', 'gesss', 'iya', 'ngomongin', 'hutang', 'negara', 'mulu', 'bangun', 'ikn', 'hutang', 'apbn', 'investasi', 'hutang', 'jadi', 'hutang', 'negrike', 'rakyat', 'hutang', 'luar', 'negeri', 'kalau', 'mau', 'negara', 'banyak', 'hutang', 'keluar', 'negeri', 'minimal', 'taat', 'bayar', 'pajak']"
19,22,Bismilah semoga lancar IKN di kalimantan🙏,Positif,bismilah semoga lancar ikn di kalimantan🙏,bismilah semoga lancar ikn di kalimantan,bismilah semoga lancar ikn di kalimantan,"['bismilah', 'semoga', 'lancar', 'ikn', 'di', 'kalimantan']","['bismilah', 'semoga', 'lancar', 'ikn', '', 'kalimantan']","['bismilah', 'moga', 'lancar', 'ikn', '', 'kalimantan']","['bismilah', 'moga', 'lancar', 'ikn', 'kalimantan']"
