Text,Label
lihat ikn kalau kerja tangan cerdas beda kalau kerja pandai kata,Positif
ganti presiden mandek nyata anggar korupsi triliun diiklaskan hambalang versi giga project yasalam,Negatif
nama sangat jauh lebih baik proyek umum biasa tinggal bedeng proyek buat triplek,Netral
buah judi harus mulai jokowi pimpin periode pertama jadi ibukota pindah kalau dilanjutin perintah ikut jadi candi ikn baru mangkrak,Negatif
sendiri bukan arti tuhan sama tanah minangkabau wahai singapure batas kota wahai malaysia kalian main catur dulu sama sinuwun dulu tatap muke iya cin iya cin,Netral
kalimantan paru dunia mulai gundul,Negatif
curiga ikn selesai perang dunia pecah,Negatif
bapak basuki bantu anak nama awaluddin dhona wardana lulus teknik sipil unisula semarang,Netral
kira orang kerja pakai tangan,Netral
mantap ikn,Positif
dana haji masuk bank syariah,Netral
pandang tampak depan coba lihat jalan kalbar apa kab ketapang arah kalteng kubang lumpur,Negatif
moga indonesia bebas hutang luar negeri aamiin,Positif
semua naik warga resah ikn duit hutang was rakyat suruh bayar,Negatif
paru dunia jangkit sel kanker,Negatif
orang dayak suku asli kalimantan sebernya tuju iya pindah ibu kota kalimantan,Netral
presiden jokowi,Netral
ikn bangun hutang beban apbn kpk bangun belah,Netral
kalau banyak jalan raya sama bohong sih banyak polusi walaupun hut mending ganti kereta tahu apa jadi iya,Negatif
selamat sukses buat bapak dan sumadilaga moga selalu lindunga allah jalan bangun ikn tetapa amanah aamiin,Positif
jadi korban iya warga datar rendah kuta samarinda balikpapan kabar banjir kemaren,Negatif
tahun indonesia merdeka mana duit duit bangun masif besar cipta industri besar hasil lapang kerja besar rata seluruh indonesia kalau mahasiswa indonesia luar negeri terus balik kerja apa pikir situ dulu bod kan akhir jaman dulu insinyur mahasiswa beasiswa milih kerja luar negeri lapang kerja indonesia mah usah pikirin kalimantan maju ibu kota jadi tarik banyak investasi buat industri kalimantan rakyat biasa pikir jangan orang dulu pikir lah depan kalimantan jadi pusat perintah nah peran tahan bidup bagaimana cara milik celah peluang sukses jangan pikir orang dulu pikir diri mu dulu jangan minta solusi jadi lah solusi,Positif
pahit justru selesai kalau masalah pokok selesai masalah,Netral
mesjid bangun iya semua rumah ibadah agama bangun nama adil rata seluruh umat agama,Negatif
muda han rawan gempa bapak,Positif
selesai baru mula bawah,Netral
semangat kerja,Positif
fun coba tanya bapak yohanes anies baswedan,Netral
tai lah mikir istana negara ibukota baru tinggal zoom woi canggih dunia,Negatif
bismillah indonesia martabat hebat,Positif
bangga warga jawa moga segera jadi jabat pindah kalimantan pulau kalimantan ramai jadi pusat kota megah aamiin,Positif
jajah cina kok bangga,Negatif
lama terus rekomendasi bapak jokowi tetap lanjut,Positif
keren moga lancar,Positif
jokowi baik,Positif
ikn dikalimantan moga bangun dikalimantan rata,Positif
iya iya lah derita kerja iya jelas derita orang punya mindset nya maju depan keluh,Negatif
jadi apa iya,Netral
nice rusa alam makin luas mantap cepat kiamat,Negatif
usul bila mei pindah asn ikn sesuai lingkung baru kemudian tanggal agustus upacara hut ri kaum dayak ada tunjuk ada lomba budaya antar rt kemudian antar rw kemudian antar kab daya tarik wisata bondong bondong lihat tampil budaya hotel sgr diri sgr baik bintang sd bintang pariwisata tingkat,Positif
bangga ibu kota baru moga sukses,Positif
moga mangkrak proyek,Positif
rumah rakyat bayak kumuh bapak kesejateraan rakyat abai,Negatif
nafsu bangun ikn nasib honorer puluh tahun kau outsourcing kan apa beda jajah,Negatif
mantap ikn gempa banjir gunung rap moga aman,Positif
yakin mangkrak,Negatif
ibu kota jadi pindah,Netral
lesmana asyik blanja pakai uang haram dong wkwk,Negatif
komentar nyinyir ikn kelar apa tinggal dukung doang ibukota baru ape susah jakarta udeh sumpek banyak manusia mau tenggelam lihat noh jakarta utara,Netral
ibukota tenggelam noh,Negatif
bangga kalimantan maju pulau jawa moga bangun kembang rata banyak destinasi mudah kunjung masa datang seluurh pulau kalimantan,Positif
iya mungkin to bos orang tanah leluhur mayoritas pulau jawa itu tahun sx pulang kamoung dar jalan nonton bangun ikn koyo wes turah duet to bos,Netral
tau lebih suka kerja hidup bedeng wkwk,Netral
titik mula hancur hutan kalimantan,Negatif
moga sukses halang apa penting dapat ridho allah swt aamiin,Positif
lahan habis woi,Negatif
jangan lupa infrastruktur warga sekitar jangan orang elit,Positif
moga proyeksi kemenkeu pdb sentuh sekarang sekitar,Netral
iya serah deh inti rakyat kalimantan utama najam dukung bangun sekarang berkat bangun warga banyak manfaat jual kebituhan pokok harga tanah tingkat kali kali lipat bahkan nilai lebih besar banding investasi,Positif
iya kalau huni semua biasa jadi jorok orang bagaimana coba cara atur biar tetap bersih,Negatif
alhamdulillah moga jalan lancar berkah aamiin indonesia terus kembang maju,Positif
moga lancar sukses kawal terus ikn,Positif
jadi susah kalau mau demo,Netral
salam malaysia moga maju jaya,Positif
semua semua mudah lancar proses bangun ikn semangat saudara ku,Positif
karma dulu mangkrak hambalang sekarang ikn mangkrak tahun minus investor apa ikn,Negatif
bangun rumah tatah biar rapi,Positif
ikn lawak,Negatif
benar habis duit negara,Negatif
kerja china bentrok iya,Negatif
pilih lanjut ikn,Positif
nega boro bangun ibukota baru indonesia kok iya lah hebat jokowi belakang nya menteri ungan ter super hebat,Positif
tahun berat kayak kalau ganti presiden iya berat,Negatif
bila rakyat indonesia paling lah pikir karakter bapak saudara mas bro eksanpriyono,Netral
ayo semangat babat hutan nya,Negatif
siapa presiden ikut harap lanjut jangan jadi kota mati,Positif
warga mongolia sangat dukung ikn,Positif
makin mantap,Positif
choiri pimpin punya cara masing legislatif eksekutif tuju rubah itinya dukung antitesis jokowi masalah undang pimpin punya bijak masing,Negatif
indonesia maju,Positif
top ikn,Positif
cara lamar kerja proyek bagaimana bang,Netral
iya kalau presiden nya anies baswedan kkkk,Netral
moga duduk jakarta kurang kurang lebih juta,Netral
kalian komentar bilang kalau program jokowi bagus semua kalau kalian kritik siap serbu puja kata kotor sini jadi komentar publish,Netral
moga ikn jadi titik awal besar bangga rakyat indonesia,Positif
moga indonesia terus maju aamin,Positif
proyek luar biasa ide sangat cemerlang maaf kurang tuju ikn tepat waktu mungkin cara indonesia jadi negara maju lebih bagus kalau bayak kawasan ekonomi khusus buat ibu kota baru alangkah rugi uang ribu triliun pindah orang tri pusat kerja darimana bayar hutang sebut kota hasil uang perlu puluh tahun pindah ibu kota buat kota baru kan lucu kalau ibukota baru isi kantor perintah warung nasi padang rasa investasi swasta lebih tarik ikn,Negatif
up terus pakde biar semua mulai awal rata,Positif
modal lah,Negatif
sama mandalika dulu sempat ragu benarbenar jadi beri manfaat banyak masyarakat,Positif
sistem tahan udara siap landas pacu pesawat tempur radar anti pesawat kawasan ibukota sangt pusat sekali,Positif
kalau lihat kondisi jakarta sekarang si memang ikn jadi solusi ngeri darat sama laut lebih tinggi laut,Positif
ikn bangun tempat paru nya dunia,Negatif
moga lancar semua sesuai rencana,Positif
jangan kudran kadrun gilir pinjam duit arab kok,Netral
bangun kerja nya saa paddock salah satu sirkuit dunia iya modular hmmmmmmm iya sirkuit kan kejar ekonomis iya bukan style sederhana sekali,Netral
moga lancar semua terimakasih bapak jokowi bangun kaltim,Positif
begini warga klimantan saudara kadang saing kejam tau sistem apa negeri konoha kolusi tinggi kalau jadi warga kls jangan marah resiko ibukota bukan milik warga lokal milik indonesia banyak dtang skil kmampuan jauh lebih baik terampil stu pmilihan presiden mau gx mau suka gx ska brgantung orang jawa populasi besar sebar banyak tmpat,Netral
iya allah moga semua libat bangun ikn beri sehat lancar mudah jalan semua tugas aminnnn,Positif
satu masa kirim no wa lewat chat publik mana email blok,Netral
yakin mangkrak bangun,Negatif
rakyat sangat dukung moga lancar,Positif
moga lancar bangun ikn kalaupun mandek minimal punya hgb sana hektar hektar masyarakat adat senggol alih tambang sawit,Positif
tol lol,Negatif
lancar lancar lancar,Positif
lihat jauh tangkar,Negatif
fun dukung bapak yohanes anies baswedan selalu pesimis negara sendiri olok negara negara sendiri bangga sama bapak yohanes anies baswedan jago bhs inggris bahasa jajah kok bangga,Negatif
cats jadi mau indonesia perang rusia hmmmm,Negatif
kirain mau bikin gedung tau nya buat kuli wkwk,Negatif
calon kota hantu nih eh wkwk,Negatif
alhamdulillah hutang makin nambah,Negatif
usah gubris semua orang kelompok nyinyir kena ikn bangun ikn jalan wujud diri ikn pusat perintah najam bangkit majapahit jaya nkri nusantara indonesia,Positif
areal bangun kok pohon apa panas,Negatif
mudah an jadi bala negeri atas bangun ikn dikalimantan disumut jalan lintas kabupaten tepat dikisaranmandoge rusak bangun,Positif
wacana sangat bagus program ingat bapak bapak sejarah bangsa jajah lama bangsa bentuk mental gampang adu domba pesan jangan proyek susup kaum sakit hati suka negara maju,Positif
mangkrak korupsi,Negatif
kadal panas lho maju indonesia,Positif
alhamdulillah kumuh mulai tertib sehat bersih semua lebih tata kerja maju indonesia,Positif
senang sekali rasa libat awal bangun diri nusantara asa bangga haru bismillah mudah segala sesuatu,Positif
moga lancar hambat apa,Positif
proyek cari cuan asal markup guueedee masalah masalah cuannya guueedeee,Negatif
moga next generasi cap proyek ibukota gagal jadi sejarah baru luar biasa bodoh kepd rakyat,Negatif
rahayu,Netral
mangkanya semua bahan pokok naik semua,Negatif
paru paru dunia tinggal cerita cepat lambat hutan kalimantan punah senyum generasi datang,Negatif
mau dong cari kerja jadi kuli syarat apadaftar butuh kerja,Netral
jadi pindah nusantara,Netral
moga guna sel surya tutup atap tiap bangun,Positif
info loker kuli bangun,Netral
gan otak sama rata bokong,Netral
munafik kalimantan asli sawit semua tambang batu bara hidup semua,Negatif
si kerdus gembok kaya lama jadi presiden pegawai partai,Negatif
moga korupsi takut ganti presiden proyek mangkrak,Positif
makanya pilih datar tinggi anti banjir,Netral
yakin jadi sarang korupsi,Negatif
moga lancar jaya jangan peduli nyiyiran kadrun,Positif
rif hutan kalimantan,Negatif
moga lanjut presiden lanjut,Positif
moga kerja tenaga kerja china,Positif
acara bedah rumah malam,Negatif
benar bangun mega proyek butuh beaya sangat besar biaya mana iya moga hutang pemb jalan lancar ekonomi rakyat makin baik,Positif
bicara defisite anggar bro jelas menkeu awal apbn desain defisit revisi pres angka kemudian akhir defisit sangat jauh lebih kecil bawah lama sampai kalau lihat banding tahun lalu defisit turun makin tajam,Netral
kirain kerjain,Negatif
sipil society indonesia nyata,Netral
moga jangan cepat kerja paksa biar progres jalan sesuai rencana penting mutu jaga,Positif
mantap bapak dan sukses,Netral
turut si kasihan bapak jokowi mati mati bikin dm indonesia bukan tempat malah presiden br,Netral
moga wan abud yohanies jadi presiden ikn mangkrak negara rugi,Negatif
bangkit bangsa,Positif
bod memang bod rasa komentar paling cerdas padahal tol,Negatif
awas buzzer mas bro hehe justice kadrun baris sakit lain pdahal rakyat jelata lihat nyata supir parkir antri panjang hari hari buat antri solar,Negatif
hebat duit hutang buat bangun terus produktif emangnyee lebih duit rakyat rakyat bebanin,Negatif
kkkk makanya kalau jadi tonton jangan potong jelas jembatan makanya buat portable alias jembatan baja jembatan beton permanen,Netral
keren moga ikn cepat wujud,Positif
hambat bangun ikn elit politik penting moga warga dayak terus awal bangun ikn nanti warga dayak indonesia maju utuh,Positif
sehat selalu semua,Positif
awas meikarta iklan ngiang ngiang,Negatif
bukan milik pribumi,Netral
terlalu paksa,Negatif
maju rata hebat,Positif
kasihan hutan hijau jadi gundul akhir berapa banyak hewan jenis tanam punah depan nya,Negatif
sadis baru kali indonesia tiap hari buat cerita bangga maju terus indonesia,Positif
moga tempat kumpul wakil rakyat barat timur benar juang rakyat bukan tempat kumpul tikus selalu rugi rakyat,Positif
satu mau boh ngin lihat hidung panjang bohong kadrun munafik inkar janji main kata kata,Negatif
otak mangkrak jelas baru bulan lalu kac uji coba sekarang sedang tahap selesai kok bilang mangkrak ikn mangkrak payung undang undang undang undang ikn arti wajib laksana siapa perintah,Positif
host citra tok kerja bacot,Negatif
bangga ada ibu kota negara baru nama ikn lebih bangga apa bila bapak jokowi bangun sdm manusia lebih maju tiga dulu perata ekonomi tingkat sdm hal didik kokoh tahan militer indonesia negara luar enggan macam,Positif
belum minta maaf besar timur barat utara selatan kasih markas tni buat tahan negara klau depan serang negara atas,Netral
makin yakin ikn jadi termangkrak antar jokowi penjara,Negatif
moga lancar kendala bangun ikn koalisi ubah tuju bangun indonesia masif masuk bangun ikn pilih ahy antek nya,Positif
kalau presiden yohanes proyek mungkin besar henti,Negatif
hebat iya paksa bangun ikn dana tri diknas rang,Negatif
project maksa,Negatif
bukan benci jokowi tuju dar awal proyek ikn concern lingkung rusak,Negatif
hutan gondol bangun,Negatif
sehat semua insyaa allah allah semua jalan lancar sesuai target,Positif
moga henti tengah jalan jauh korupsi,Positif
bangunanya rumah sakit covid,Negatif
banyak bacot mangkrak,Negatif
sejak kapan eropa bikin kereta bawah tanah kota baru lahir kemarin,Netral
jawa barat mohon informasi lowong kerja ikn,Netral
buka warung kopi goreng apa bantu bapak tempat nya,Netral
alhamdulillah moga indonesia maju rakyat harap jabat amanah tugas lillahitaalla ibadah allah kerja,Positif
assalamualaikumwrwbrkth kagum lokasi bagus terimakasih,Positif
kolom komentar fuul buzer,Netral
si paling cepat kalau cepat kualitas buruk indonesia mending tahap atur sesuai rencana cepat,Negatif
moga presiden baru gagal semua menyelamtkan rakyat negara hancur hutang,Negatif
periode presiden kalau fokus bangun mungkin indonesia cepat jadi negara superpower,Positif
apa sih paham,Negatif
mantap ikn tempat ibadah dibanguan kok masjid bos agama bagaimana kalau tempat ibadah agama bangun sebentar kalau bangun tempat ibadah sendiri ganggu sama kelompok kadrun,Positif
nasib kaya meikarta,Negatif
akhir ibukota makin jauh sumatera tetap dukung perata bangun,Positif
moga semua jalan lancar otak korupsi,Positif
hutan wilayah ikn bukan hutan liar tapi hutan produksi tahun sekali tebang,Netral
mana alat canggih berat klau bikin ikn pakai cangkul alat manual iya bikin gubuk aja,Negatif
usul dong kalau ibukota baru nanti jadi pusat perintah barometer perintah daerah sesuai marwah negara multi etnis multi agama dong bangun tempat ibadah umat lain pusat perintah negara biar adil mulai pusat perintah dulu usul iya biar slogan jargon bhineka tunggal ika,Positif
moga cepat selesai ibukota indonesia,Positif
bangun bendung tahun lebih jadi entah sulit turut realisasi upacara bendera ikn,Positif
indonesia hutang makin tambah ada ikn,Negatif
stadion sepakbola bangun iya ikn ibukota wajib stadion srpakbola banggan bangsa kalau lebih baik gbk,Positif
usah ngebut bapak,Negatif
kyai nya jadi imam masjid jangan radikal iya bapakibu takut nya jadi nge bleng semua lho pribadi rakyat indonesia sangat dukung semua bijak perintah sukses sukses sukses buat saudarasaudara qu kerja mulai atas bawah selalu lindung allah swt aamiin iya allah iya rabbal,Positif
perlu ingat iya gesss iya ngomongin hutang negara mulu bangun ikn hutang apbn investasi hutang jadi hutang negrike rakyat hutang luar negeri kalau mau negara banyak hutang keluar negeri minimal taat bayar pajak,Netral
ratus megaproyek rampung tangan bapak jokowi ikn salah satu bukti taruh beliau keren sekali,Positif
moga kerja sana akur bahaya kalau akur,Positif
moga cepat pindah ibu kota biar rusuhh pulau jawa,Positif
mobile pegang proyek biar korupsi bagaimana,Netral
mantap kok mesjid doang emang agama indonesia zuma satu agama rancang tinggi xxx,Positif
moga semua lancar maju negeri anak cucu besok,Positif
bagaimana akses kerja area ikn,Netral
tempat jalan rusak minim terang berpuluhpuluh tarung truk kontainer detik benerin ngapain bikin ikn jalan rusak benerin dulu,Negatif
orang jawa barat indonesia sangat dukung bangun ikn kalimantan moga jalan lancar,Positif
suku jawa dominasi semua kota besar kalimantan singkir lah orang asli kalimantan,Negatif
moga bangun huni subsidi masyarakat tegah bawah ramai kota baru ramai roda ekonomi,Positif
moga biaya cukup aset negara hutang sana sini rakyat bawa beban aamiin,Positif
moga lancar moga panjang umur sehat biar saksi ikn rampung,Positif
proyek bancak korupsi tanggung beban hutang rakyat,Negatif
ikn jadi pangkal militer china,Negatif
proyek tingkat potensi mangkraknya,Negatif
baik moga lancar buruk moga susah hingga henti,Positif
kok gedung gereja mesjid doang,Negatif
mantap makin maju moga kelak betah ikn aamiin kalau pam macet siap bntar iya sumber air lumayan sulit,Positif
dah dibenerin paham njay tadi argumen masuk akal malah cenderung ungkit borok doang kayak memang beneran orang purba njir tau geopolitik modern jaman sekarang akwoakao,Netral
bismillahirrahmanirrahim ikn moga jalan lancar aamiin aamiin yarobbaal alamin the best my presiden bapak jokowi bismillahirrahmanirrahim periode aamiin yarobbaal alamin,Positif
moga hambat apa,Positif
bangga kampung halaman jadi ikn moga lancar semua bangun tetap lestari hijau,Positif
alhamdulillah iya allah moga lancar sukses,Positif
hati anies baswedan presiden ikn stop meski dpr ikat contoh dki,Negatif
cina,Negatif
hidup indonesia enak,Negatif
alhamdulillah ada bangun ikn baru kaltim moga indonesia makin jaya rakyat makin makmur hidup bangsa indonesia makin wibawa dunia notonogoro,Positif
ikn mencret mencret,Negatif
sejarah bangun indonesia,Netral
sekolah bapak,Netral
contoh mesir bangun ikn baru sana langsung bangun transportasi massal monorail beri insentif naik transportasi massal sini naik transportasi massal malah mahal beli makananminuman transportasi massal harga kali lipat lebih,Positif
moga pilih jadi presiden depan bangun bukan ubah bangun infratuktur sabang merouke rakyat indonesia rasa adil sosial seluruh rakyat indonesia alhamdulillah pulau luar jawa sekarang lebih baik jaman sblum perintah presiden jokowi,Positif
idrus tanya,Netral
tetangga mana bro tetangga hutang paling sedikit iya brunei malaysia sekarang pdb,Netral
mantap indonesia,Positif
,Netral
ikn indonesia jadi ibukota luar biasa kelas eropa tempoh tahun depan nya selesai nya putus jokowi tepat pindah ikn luar pulau jawa jakarta jakarta terus kekal sebgi wilayah uang indonesia,Positif
felicia semua kerja selesai negara bagi nya sendirisendiri ikn bagi bijak selesai salah tuju silah,Netral
was was nih,Negatif
baik sangka lumayan buk lapang kerja buat masyarakat,Positif
kalau jalan tol harus lajur lajur tuju depan perlu lebar,Positif
mantap moga goggle map segera update lokasi ikn maupun jalur akses lebih baca goggle,Positif
saat benci hari caci perintah sadar hari perintah terus kerja bangun negeri,Positif
selamat tinggal flora fauna,Negatif
mega korupsi nipasti haduh proyek main semua,Negatif
moga laksana baik cepat moga semua laksana milik semngat sama maju bangsa amanah rapi kerja,Positif
lihat progres nya bener jalan dar omong belaka,Positif
pikir kurang jauh bro,Netral
satu masuk tol bayar utama jalan umum tol bikin jalan umum perencanaanya bagus jalur macet muter muter lambat,Negatif
moga tahun cepat datang proyek benar henti sama henti jokowi,Negatif
mudah an ikn cepat selesai manfaat nkri,Positif
jahat larang bangun gereja,Negatif
betul suka nyaman kerja utama bravo,Positif
bangun ikn bangun lai kalimantan kalah negara malaysia singapore philipina ausralia moga bapak jokowi presiden indonesia hendak allah swt tetap sehat moga allah swt utus jokowi priode awal langsung indonesia lebih baik,Positif
hati pilih kerja inti pusat perintah jadi intel asing,Positif
terima kasih kaseh,Positif
moga cepat selesai tempat bapak anies baswedan baswedan aamiin,Positif
memang bahkan jumlah duduk tinggal ikn batas jadi tumpu populasi akibat buat jalan umum jadi macet,Netral
link gawe sana,Netral
hancur hutan kalimantan manusia memang hancur bumi kasihan satwa liar hilang tempat tinggal,Negatif
moga tahun depan ikn fix indonesia hebat godbless,Positif
bagus sekarang bayar hutang nya kapan,Negatif
jadi sejarah ingat hingga abad,Positif
bukti sukses bapak jokowi kira lanjut presiden ikut ikut brkesinambungan agara nusantara indonesia makin cemerlang,Positif
moga guna warga,Positif
betul,Netral
sungai bersih,Netral
hhhhhhhhhhhhhh,Netral
cebong kadrun tetep aman,Netral
dah kasih tau malah otot begini begini kalau perintah usah hutang negara pernah rasa era megawati bandingin indonesia sama jepang jepang backup as sekutu nya tambah,Netral
moga cepat garap cepat selesai baru dasar jokowi is the best presiden ku moga selalu sehat,Positif
moga radar alutsista rudal darat udara banyak sungai,Positif
wiii tampak cepat pembaggunanya apa bantu jin gas pol moga istana ibu kota cepat selesai,Positif
bangga ikn bukan janji kampanye bapak jokowi,Negatif
moga bangun ikn jalan lancar cepat wujud aamiin,Positif
bukan tuju kalau korban ekonomi nasional,Negatif
kalau punya hutang bangun ikn,Negatif
luar biasa bangun ikn nyata mulai,Positif
